Device Status,Status,Device ID,Name,Site,Poll Type,Poll Group Name,Admin Profile,Client Profile,IP Address,Trap Status,Syslog Status,Poll Status,Poll Details,Device Type,Family,Firmware,Reference,Connector,Updates,Archived,Config Changed,Policy Domain,Boot PROM,Base MAC,Serial Number,Stats,Location,Contact,System Name,Uptime,Nickname,Description,User Data 1,User Data 2,User Data 3,User Data 4,Notes,Asset Tag,Network OS ID,Network OS,Device Group ID
1,Up - No Alarms,90,ECU_MDF-230A-465-48P_SW1,/World/LCSO/ECU,SNMPv3,Default,LCSO_SNMPV3_PROFILE,LCSO_SNMPV3_PROFILE,172.24.22.3,Trap Receiver Registered,Syslog Receiver Registered,Available: 99.984%,Up: 18371 Down: 3,X465-48P,Summit Series,30.6.1.11-patch1-11,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,LCSO POLICY DOMAIN,,5C:0E:8B:FE:0A:4D,800905-00-05 2009F-20132,Not Collecting,ECU,Lee County Sheriff,ECU_MDF-230A-465-48P_SW1,63 Days 02:10:58,ECU_MDF-230A-465-48P_SW1,ExtremeXOS (X465-48P) version 30.6.1.11 30.6.1.11-patch1-11 by release-manager on Wed May 27 11:52:45 EDT 2020,,,,,,,nos-id-exos,ExtremeXOS,
1,Up - No Alarms,53,EOC-EXT-NAC,/World,SNMPv3,Default,NAC_SNMPv3_Profile,NAC_SNMPv3_Profile,172.24.105.11,---,Not Supported,Available: 99.973%,Up: 18370 Down: 5,Virtual Access Control Engine IA-V,Extreme Control,8.5.2.6,FALSE,,"Run ""Check for Updates"" to find new firmware releases",FALSE,FALSE,N/A,,,,Collecting Historical,Unknown,root,EOC-EXT-NAC,64 Days 00:24:08,EOC-EXT-NAC,Extreme Networks Access Control Engine - IA-V: Virtual Access Control Engine - Version: 8.5.2.6,,,,,,,nos-id-ubuntu,Ubuntu,
1,Up - No Alarms,43,EOC-MDF-B5,/World/LCSO/HQ,SNMPv3,Default,lcso_v3_profile,lcso_v3_profile,172.24.253.70,Trap Receiver Registered,Syslog Receiver Registered,Available: 100.000%,Up: 18374 Down: 0,B5K125-48P2,B-Series,06.81.05.0003,FALSE,,"Run ""Check for Updates"" to find new firmware releases",FALSE,FALSE,,02.02.51,20:B3:99:EE:CF:A8,14233092916D,Collecting Historical,EOC,,EOC-MDF-B5,186 Days 04:02:14,EOC-MDF-B5,"Extreme Networks, Inc. B5K125-48P2 Rev 06.81.05.0003",,,,,,,nos-id-a-b-c,A/B/C,
1,Up - No Alarms,113,EOC_CAB10_7400A_vIST,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.102,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18373 Down: 0,VSP-7400-48Y-8C,VSP Series,8.1.6.0,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,N/A,,48:9B:D5:9A:30:00,1948Q-40029,Not Collecting,,http://www.extremenetworks.com/contact/,EOC_CAB10_7400A_vIST,183 Days 17:41:21,EOC_CAB10_7400A_vIST,VSP-7400-48Y-8C (8.1.6.0),,,,,,,nos-id-voss,VOSS,
1,Up - No Alarms,112,EOC_CAB10_7400B_vIST,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.101,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18375 Down: 0,VSP-7400-48Y-8C,VSP Series,8.1.6.0,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,N/A,,48:9B:D5:86:70:00,1929Q-30036,Not Collecting,,http://www.extremenetworks.com/contact/,EOC_CAB10_7400B_vIST,183 Days 17:39:43,EOC_CAB10_7400B_vIST,VSP-7400-48Y-8C (8.1.6.0),,,,,,,nos-id-voss,VOSS,
1,Up - No Alarms,114,EOC_CAB11_7400A_vIST,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.103,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18343 Down: 0,VSP-7400-48Y-8C,VSP Series,8.1.6.0,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,N/A,,88:7E:25:B6:48:00,1948Q-40118,Not Collecting,,http://www.extremenetworks.com/contact/,EOC_CAB11_7400A_vIST,183 Days 17:34:37,EOC_CAB11_7400A_vIST,VSP-7400-48Y-8C (8.1.6.0),,,,,,,nos-id-voss,VOSS,
1,Up - No Alarms,115,EOC_CAB11_7400B_vIST,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.104,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18375 Down: 0,VSP-7400-48Y-8C,VSP Series,8.0.5.1,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,N/A,,88:7E:25:C3:C0:00,2008Q-30129,Not Collecting,,http://www.extremenetworks.com/contact/,EOC_CAB11_7400B_vIST,183 Days 17:36:10,EOC_CAB11_7400B_vIST,VSP-7400-48Y-8C (8.0.5.1),,,,,,,nos-id-voss,VOSS,
0,Down - 1 Critical Alarm,139,EOC_CAB11_B5,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.109,No Permission,No Permission,Available: 23.695%,Up: 4353 Down: 14018,B5K125-48P2,B-Series,,FALSE,,"Run ""Check for Updates"" to find new firmware releases",FALSE,FALSE,,,D8:84:66:05:05:EF,,Not Collecting,EOC,,EOC_CAB11_B5,124 Days 23:14:04,EOC_CAB11_B5,"Extreme Networks, Inc. B5K125-48P2 Rev 06.81.05.0003",,,,,,,nos-id-a-b-c,A/B/C,
1,Up - No Alarms,116,EOC_CAB12_7400A_vIST,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.105,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18375 Down: 0,VSP-7400-48Y-8C,VSP Series,8.1.6.0,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,N/A,,48:9B:D5:9A:F4:00,1947Q-40158,Not Collecting,,http://www.extremenetworks.com/contact/,EOC_CAB12_7400A_vIST,184 Days 03:08:03,EOC_CAB12_7400A_vIST,VSP-7400-48Y-8C (8.1.6.0),,,,,,,nos-id-voss,VOSS,
1,Up - No Alarms,117,EOC_CAB12_7400B_vIST,/World/LCSO/EOC,SNMPv3,Default,LCSO2020,LCSO2020,172.24.252.106,Trap Receiver Unregistered,Syslog Receiver Unregistered,Available: 100.000%,Up: 18374 Down: 0,VSP-7400-48Y-8C,VSP Series,8.1.6.0,FALSE,,"Run ""Check for Updates"" to find new firmware releases",TRUE,TRUE,N/A,,88:7E:25:B9:04:00,2007Q-30075,Not Collecting,,http://www.extremenetworks.com/contact/,EOC_CAB12_7400B_vIST,184 Days 04:17:57,EOC_CAB12_7400B_vIST,VSP-7400-48Y-8C (8.1.6.0),,,,,,,nos-id-voss,VOSS,
